No.;Port;Event;Frequency;SF / Datarate;Bandwidth;RSSI;SNR;Time;Dst Address;Src Address;Message Payload 
1;COM8;Tx C-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;;;2021-04-14 17:31:06.206;;;Status:OK  Packet:901  AirTime:2 ms
2;COM8;Rx Ack-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;-83 dBm;0 dB;2021-04-14 17:31:05;10:1111;10:2222;
3;COM8;Tx C-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;;;2021-04-14 17:31:07.102;;;Status:OK  Packet:902  AirTime:2 ms
4;COM8;Rx Ack-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;-87 dBm;0 dB;2021-04-14 17:31:06;10:1111;10:2222;
5;COM8;Tx C-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;;;2021-04-14 17:31:08.074;;;Status:OK  Packet:903  AirTime:2 ms
6;COM8;Rx Ack-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;-73 dBm;0 dB;2021-04-14 17:31:07;10:1111;10:2222;
7;COM8;Tx C-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;;;2021-04-14 17:31:10.603;;;Status:OK  Packet:904  AirTime:2 ms
8;COM8;Rx Ack-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;-83 dBm;0 dB;2021-04-14 17:31:10;10:1111;10:2222;
9;COM8;Tx C-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;;;2021-04-14 17:31:11.450;;;Status:OK  Packet:905  AirTime:2 ms
10;COM8;Rx Ack-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;-79 dBm;0 dB;2021-04-14 17:31:11;10:1111;10:2222;
11;COM8;Tx C-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;;;2021-04-14 17:31:12.227;;;Status:OK  Packet:906  AirTime:2 ms
12;COM8;Rx Ack-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;-81 dBm;0 dB;2021-04-14 17:31:12;10:1111;10:2222;
13;COM8;Tx C-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;;;2021-04-14 17:31:13.594;;;Status:OK  Packet:907  AirTime:2 ms
14;COM8;Rx Ack-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;-77 dBm;0 dB;2021-04-14 17:31:13;10:1111;10:2222;
15;COM8;Tx C-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;;;2021-04-14 17:31:14.330;;;Status:OK  Packet:908  AirTime:2 ms
16;COM8;Rx Ack-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;-88 dBm;0 dB;2021-04-14 17:31:14;10:1111;10:2222;
17;COM8;Tx C-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;;;2021-04-14 17:31:15.046;;;Status:OK  Packet:909  AirTime:2 ms
18;COM8;Rx Ack-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;-87 dBm;0 dB;2021-04-14 17:31:14;10:1111;10:2222;
19;COM8;Tx C-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;;;2021-04-14 17:31:15.913;;;Status:OK  Packet:910  AirTime:2 ms
20;COM8;Rx Ack-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;-78 dBm;0 dB;2021-04-14 17:31:15;10:1111;10:2222;
21;COM8;Tx C-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;;;2021-04-14 17:31:21.269;;;Status:OK  Packet:911  AirTime:2 ms
22;COM8;Rx Ack-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;-68 dBm;0 dB;2021-04-14 17:31:21;10:1111;10:2222;
23;COM8;Tx C-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;;;2021-04-14 17:31:22.226;;;Status:OK  Packet:912  AirTime:2 ms
24;COM8;Rx Ack-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;-69 dBm;0 dB;2021-04-14 17:31:21;10:1111;10:2222;
25;COM8;Tx C-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;;;2021-04-14 17:31:23.107;;;Status:OK  Packet:913  AirTime:2 ms
26;COM8;Rx Ack-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;-73 dBm;0 dB;2021-04-14 17:31:22;10:1111;10:2222;
27;COM8;Tx C-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;;;2021-04-14 17:31:23.938;;;Status:OK  Packet:914  AirTime:2 ms
28;COM8;Rx Ack-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;-72 dBm;0 dB;2021-04-14 17:31:23;10:1111;10:2222;
29;COM8;Tx C-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;;;2021-04-14 17:31:24.721;;;Status:OK  Packet:915  AirTime:2 ms
30;COM8;Rx Ack-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;-72 dBm;0 dB;2021-04-14 17:31:24;10:1111;10:2222;
31;COM8;Tx C-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;;;2021-04-14 17:31:25.519;;;Status:OK  Packet:916  AirTime:2 ms
32;COM8;Rx Ack-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;-71 dBm;0 dB;2021-04-14 17:31:25;10:1111;10:2222;
33;COM8;Tx C-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;;;2021-04-14 17:31:26.304;;;Status:OK  Packet:917  AirTime:2 ms
34;COM8;Rx Ack-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;-70 dBm;0 dB;2021-04-14 17:31:26;10:1111;10:2222;
35;COM8;Tx C-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;;;2021-04-14 17:31:27.103;;;Status:OK  Packet:918  AirTime:2 ms
36;COM8;Rx Ack-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;-69 dBm;0 dB;2021-04-14 17:31:26;10:1111;10:2222;
37;COM8;Tx C-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;;;2021-04-14 17:31:27.853;;;Status:OK  Packet:919  AirTime:2 ms
38;COM8;Rx Ack-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;-70 dBm;0 dB;2021-04-14 17:31:27;10:1111;10:2222;
39;COM8;Tx C-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;;;2021-04-14 17:31:28.565;;;Status:OK  Packet:920  AirTime:2 ms
40;COM8;Rx Ack-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;-70 dBm;0 dB;2021-04-14 17:31:28;10:1111;10:2222;
41;COM8;Tx C-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;;;2021-04-14 17:31:29.216;;;Status:OK  Packet:921  AirTime:2 ms
42;COM8;Rx Ack-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;-70 dBm;0 dB;2021-04-14 17:31:28;10:1111;10:2222;
43;COM8;Tx C-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;;;2021-04-14 17:31:29.884;;;Status:OK  Packet:922  AirTime:2 ms
44;COM8;Rx Ack-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;-70 dBm;0 dB;2021-04-14 17:31:29;10:1111;10:2222;
45;COM8;Tx C-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;;;2021-04-14 17:31:30.564;;;Status:OK  Packet:923  AirTime:2 ms
46;COM8;Rx Ack-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;-70 dBm;0 dB;2021-04-14 17:31:30;10:1111;10:2222;
47;COM8;Tx C-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;;;2021-04-14 17:31:31.196;;;Status:OK  Packet:924  AirTime:2 ms
48;COM8;Rx Ack-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;-70 dBm;0 dB;2021-04-14 17:31:30;10:1111;10:2222;
49;COM8;Tx C-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;;;2021-04-14 17:31:31.855;;;Status:OK  Packet:925  AirTime:2 ms
50;COM8;Rx Ack-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;-69 dBm;0 dB;2021-04-14 17:31:31;10:1111;10:2222;
51;COM8;Tx C-Msg;2450000122 Hz;;0.125 Mb/s BW 0.3 MHz;;;2021-04-14 17:31:32.444;;;Status:OK  Packet:926  AirTime:2 ms
