No.;Port;Event;Frequency;SF / Datarate;Bandwidth;RSSI;SNR;Time;Dst Address;Src Address;Message Payload 
1;COM8;Tx C-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;;;2021-03-29 17:24:27.075;;;Status:OK  Packet:2826  AirTime:25 ms
2;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;-73 dBm;9 dB;2021-03-29 17:24:26;10:1111;10:2222;
3;COM8;Tx C-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;;;2021-03-29 17:24:27.131;;;Status:OK  Packet:2827  AirTime:25 ms
4;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;-73 dBm;10 dB;2021-03-29 17:24:26;10:1111;10:2222;
5;COM8;Tx C-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;;;2021-03-29 17:24:27.452;;;Status:OK  Packet:2828  AirTime:25 ms
6;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;-73 dBm;9 dB;2021-03-29 17:24:26;10:1111;10:2222;
7;COM8;Tx C-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;;;2021-03-29 17:24:27.522;;;Status:OK  Packet:2829  AirTime:25 ms
8;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;-73 dBm;9 dB;2021-03-29 17:24:26;10:1111;10:2222;
9;COM8;Tx C-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;;;2021-03-29 17:24:27.806;;;Status:OK  Packet:2830  AirTime:25 ms
10;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;-73 dBm;9 dB;2021-03-29 17:24:26;10:1111;10:2222;
11;COM8;Tx C-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;;;2021-03-29 17:24:27.874;;;Status:OK  Packet:2831  AirTime:25 ms
12;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;-73 dBm;10 dB;2021-03-29 17:24:27;10:1111;10:2222;
13;COM8;Tx C-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;;;2021-03-29 17:24:28.190;;;Status:OK  Packet:2832  AirTime:25 ms
14;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;-73 dBm;10 dB;2021-03-29 17:24:27;10:1111;10:2222;
15;COM8;Tx C-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;;;2021-03-29 17:24:28.272;;;Status:OK  Packet:2833  AirTime:25 ms
16;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;-73 dBm;10 dB;2021-03-29 17:24:27;10:1111;10:2222;
17;COM8;Tx C-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;;;2021-03-29 17:24:28.574;;;Status:OK  Packet:2834  AirTime:25 ms
18;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;-73 dBm;9 dB;2021-03-29 17:24:27;10:1111;10:2222;
19;COM8;Tx C-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;;;2021-03-29 17:24:28.654;;;Status:OK  Packet:2835  AirTime:25 ms
20;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;-73 dBm;10 dB;2021-03-29 17:24:27;10:1111;10:2222;
21;COM8;Tx C-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;;;2021-03-29 17:24:28.974;;;Status:OK  Packet:2836  AirTime:25 ms
22;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;-73 dBm;9 dB;2021-03-29 17:24:28;10:1111;10:2222;
23;COM8;Tx C-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;;;2021-03-29 17:24:29.066;;;Status:OK  Packet:2837  AirTime:25 ms
24;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;-73 dBm;9 dB;2021-03-29 17:24:28;10:1111;10:2222;
25;COM8;Tx C-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;;;2021-03-29 17:24:29.329;;;Status:OK  Packet:2838  AirTime:25 ms
26;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;-73 dBm;9 dB;2021-03-29 17:24:28;10:1111;10:2222;
27;COM8;Tx C-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;;;2021-03-29 17:24:29.414;;;Status:OK  Packet:2839  AirTime:25 ms
28;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;-73 dBm;10 dB;2021-03-29 17:24:28;10:1111;10:2222;
29;COM8;Tx C-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;;;2021-03-29 17:24:29.705;;;Status:OK  Packet:2840  AirTime:25 ms
30;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;-73 dBm;9 dB;2021-03-29 17:24:28;10:1111;10:2222;
31;COM8;Tx C-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;;;2021-03-29 17:24:29.791;;;Status:OK  Packet:2841  AirTime:25 ms
32;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;-73 dBm;9 dB;2021-03-29 17:24:28;10:1111;10:2222;
33;COM8;Tx C-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;;;2021-03-29 17:24:30.081;;;Status:OK  Packet:2842  AirTime:25 ms
34;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;-73 dBm;10 dB;2021-03-29 17:24:29;10:1111;10:2222;
35;COM8;Tx C-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;;;2021-03-29 17:24:30.176;;;Status:OK  Packet:2843  AirTime:25 ms
36;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;-73 dBm;9 dB;2021-03-29 17:24:29;10:1111;10:2222;
37;COM8;Tx C-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;;;2021-03-29 17:24:30.443;;;Status:OK  Packet:2844  AirTime:25 ms
38;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;-73 dBm;9 dB;2021-03-29 17:24:29;10:1111;10:2222;
39;COM8;Tx C-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;;;2021-03-29 17:24:30.525;;;Status:OK  Packet:2845  AirTime:25 ms
40;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;-73 dBm;9 dB;2021-03-29 17:24:29;10:1111;10:2222;
41;COM8;Tx C-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;;;2021-03-29 17:24:30.801;;;Status:OK  Packet:2846  AirTime:25 ms
42;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;-73 dBm;10 dB;2021-03-29 17:24:29;10:1111;10:2222;
43;COM8;Tx C-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;;;2021-03-29 17:24:30.886;;;Status:OK  Packet:2847  AirTime:25 ms
44;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;-73 dBm;9 dB;2021-03-29 17:24:30;10:1111;10:2222;
45;COM8;Tx C-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;;;2021-03-29 17:24:31.181;;;Status:OK  Packet:2848  AirTime:25 ms
46;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;-73 dBm;9 dB;2021-03-29 17:24:30;10:1111;10:2222;
47;COM8;Tx C-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;;;2021-03-29 17:24:31.283;;;Status:OK  Packet:2849  AirTime:25 ms
48;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;-73 dBm;10 dB;2021-03-29 17:24:30;10:1111;10:2222;
49;COM8;Tx C-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;;;2021-03-29 17:24:31.563;;;Status:OK  Packet:2850  AirTime:25 ms
50;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;-73 dBm;10 dB;2021-03-29 17:24:30;10:1111;10:2222;
51;COM8;Tx C-Msg;2450000122 Hz;LoRa SF10;LoRa BW 1600;;;2021-03-29 17:24:31.654;;;Status:OK  Packet:2851  AirTime:25 ms
