No.;Port;Event;Frequency;SF / Datarate;Bandwidth;RSSI;SNR;Time;Dst Address;Src Address;Message Payload
1;COM8;Tx C-Msg;2479999939 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-08 16:12:21.006;;;Status:OK  Packet:1  AirTime:2 ms
2;COM8;Rx Ack-Msg;2479999939 Hz;LoRa SF5;LoRa BW 1600;-47 dBm;10 dB;2013-05-22 00:05:35;10:1111;10:2222;
3;COM8;Tx C-Msg;2479999939 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-08 16:12:38.019;;;Status:OK  Packet:2  AirTime:2 ms
4;COM8;Rx Ack-Msg;2479999939 Hz;LoRa SF5;LoRa BW 1600;-47 dBm;10 dB;2013-05-22 00:05:52;10:1111;10:2222;
5;COM8;Tx C-Msg;2479999939 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-08 16:12:39.072;;;Status:OK  Packet:3  AirTime:2 ms
6;COM8;Rx Ack-Msg;2479999939 Hz;LoRa SF5;LoRa BW 1600;-46 dBm;10 dB;2013-05-22 00:05:53;10:1111;10:2222;
7;COM8;Tx C-Msg;2479999939 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-08 16:12:39.983;;;Status:OK  Packet:4  AirTime:2 ms
8;COM8;Rx Ack-Msg;2479999939 Hz;LoRa SF5;LoRa BW 1600;-46 dBm;10 dB;2013-05-22 00:05:54;10:1111;10:2222;
9;COM8;Tx C-Msg;2479999939 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-08 16:12:40.945;;;Status:OK  Packet:5  AirTime:2 ms
10;COM8;Rx Ack-Msg;2479999939 Hz;LoRa SF5;LoRa BW 1600;-47 dBm;9 dB;2013-05-22 00:05:55;10:1111;10:2222;
11;COM8;Tx C-Msg;2479999939 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-08 16:12:41.805;;;Status:OK  Packet:6  AirTime:2 ms
12;COM8;Rx Ack-Msg;2479999939 Hz;LoRa SF5;LoRa BW 1600;-47 dBm;9 dB;2013-05-22 00:05:56;10:1111;10:2222;
