No.;Port;Event;Frequency;SF / Datarate;Bandwidth;RSSI;SNR;Time;Dst Address;Src Address;Message Payload 
1;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-24 16:52:03.308;;;Status:OK  Packet:622  AirTime:2 ms
2;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-70 dBm;10 dB;2021-03-24 16:52:02;10:1111;10:2222;
3;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-24 16:52:04.143;;;Status:OK  Packet:623  AirTime:2 ms
4;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-70 dBm;10 dB;2021-03-24 16:52:03;10:1111;10:2222;
5;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-24 16:52:04.190;;;Status:OK  Packet:624  AirTime:2 ms
6;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-70 dBm;9 dB;2021-03-24 16:52:03;10:1111;10:2222;
7;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-24 16:52:04.525;;;Status:OK  Packet:625  AirTime:2 ms
8;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-70 dBm;10 dB;2021-03-24 16:52:03;10:1111;10:2222;
9;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-24 16:52:04.580;;;Status:OK  Packet:626  AirTime:2 ms
10;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-70 dBm;10 dB;2021-03-24 16:52:03;10:1111;10:2222;
11;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-24 16:52:04.888;;;Status:OK  Packet:627  AirTime:2 ms
12;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-70 dBm;10 dB;2021-03-24 16:52:03;10:1111;10:2222;
13;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-24 16:52:04.969;;;Status:OK  Packet:628  AirTime:2 ms
14;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-70 dBm;10 dB;2021-03-24 16:52:03;10:1111;10:2222;
15;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-24 16:52:05.245;;;Status:OK  Packet:629  AirTime:2 ms
16;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-70 dBm;9 dB;2021-03-24 16:52:04;10:1111;10:2222;
17;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-24 16:52:05.339;;;Status:OK  Packet:630  AirTime:2 ms
18;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-70 dBm;10 dB;2021-03-24 16:52:04;10:1111;10:2222;
