No.;Port;Event;Frequency;SF / Datarate;Bandwidth;RSSI;SNR;Time;Dst Address;Src Address;Message Payload
1;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-09 16:35:42.641;;;Status:OK  Packet:9  AirTime:2 ms
2;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-45 dBm;9 dB;2021-03-09 16:35:42;10:1111;10:2222;
3;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-09 16:35:43.785;;;Status:OK  Packet:10  AirTime:2 ms
4;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-46 dBm;9 dB;2021-03-09 16:35:43;10:1111;10:2222;
5;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-09 16:35:44.733;;;Status:OK  Packet:11  AirTime:2 ms
6;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-46 dBm;10 dB;2021-03-09 16:35:44;10:1111;10:2222;
7;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-09 16:35:45.646;;;Status:OK  Packet:12  AirTime:2 ms
8;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-45 dBm;10 dB;2021-03-09 16:35:45;10:1111;10:2222;
9;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-09 16:35:46.607;;;Status:OK  Packet:13  AirTime:2 ms
10;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-45 dBm;9 dB;2021-03-09 16:35:46;10:1111;10:2222;
11;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-09 16:35:47.467;;;Status:OK  Packet:14  AirTime:2 ms
12;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-46 dBm;10 dB;2021-03-09 16:35:47;10:1111;10:2222;
13;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-09 16:35:48.282;;;Status:OK  Packet:15  AirTime:2 ms
14;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-46 dBm;10 dB;2021-03-09 16:35:47;10:1111;10:2222;
15;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-09 16:35:49.131;;;Status:OK  Packet:16  AirTime:2 ms
16;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-46 dBm;10 dB;2021-03-09 16:35:48;10:1111;10:2222;
17;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-09 16:35:49.866;;;Status:OK  Packet:17  AirTime:2 ms
18;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-46 dBm;10 dB;2021-03-09 16:35:49;10:1111;10:2222;
19;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-09 16:35:50.589;;;Status:OK  Packet:18  AirTime:2 ms
20;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-45 dBm;9 dB;2021-03-09 16:35:50;10:1111;10:2222;
21;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-09 16:35:51.274;;;Status:OK  Packet:19  AirTime:2 ms
22;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-45 dBm;9 dB;2021-03-09 16:35:50;10:1111;10:2222;
23;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-09 16:35:51.978;;;Status:OK  Packet:20  AirTime:2 ms
24;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-43 dBm;10 dB;2021-03-09 16:35:51;10:1111;10:2222;
25;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-09 16:35:52.648;;;Status:OK  Packet:21  AirTime:2 ms
26;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-43 dBm;10 dB;2021-03-09 16:35:52;10:1111;10:2222;
27;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-09 16:35:53.466;;;Status:OK  Packet:22  AirTime:2 ms
28;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-43 dBm;10 dB;2021-03-09 16:35:53;10:1111;10:2222;
29;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-09 16:35:54.152;;;Status:OK  Packet:23  AirTime:2 ms
30;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-44 dBm;10 dB;2021-03-09 16:35:53;10:1111;10:2222;
31;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-09 16:35:55.046;;;Status:OK  Packet:24  AirTime:2 ms
32;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-44 dBm;10 dB;2021-03-09 16:35:54;10:1111;10:2222;
33;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-09 16:36:00.456;;;Status:OK  Packet:25  AirTime:2 ms
34;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-42 dBm;10 dB;2021-03-09 16:35:59;10:1111;10:2222;
35;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-09 16:36:01.234;;;Status:OK  Packet:26  AirTime:2 ms
36;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-41 dBm;10 dB;2021-03-09 16:36:00;10:1111;10:2222;
37;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-09 16:36:02.056;;;Status:OK  Packet:27  AirTime:2 ms
38;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-42 dBm;10 dB;2021-03-09 16:36:01;10:1111;10:2222;
39;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-09 16:36:02.803;;;Status:OK  Packet:28  AirTime:2 ms
40;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-42 dBm;10 dB;2021-03-09 16:36:02;10:1111;10:2222;
41;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-09 16:36:03.522;;;Status:OK  Packet:29  AirTime:2 ms
42;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-41 dBm;9 dB;2021-03-09 16:36:03;10:1111;10:2222;
43;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-09 16:36:04.252;;;Status:OK  Packet:30  AirTime:2 ms
44;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-41 dBm;10 dB;2021-03-09 16:36:03;10:1111;10:2222;
45;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-09 16:36:04.943;;;Status:OK  Packet:31  AirTime:2 ms
46;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-42 dBm;10 dB;2021-03-09 16:36:04;10:1111;10:2222;
47;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-09 16:36:05.619;;;Status:OK  Packet:32  AirTime:2 ms
48;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-42 dBm;10 dB;2021-03-09 16:36:05;10:1111;10:2222;
49;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-09 16:36:06.171;;;Status:OK  Packet:33  AirTime:2 ms
50;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-42 dBm;10 dB;2021-03-09 16:36:05;10:1111;10:2222;
51;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-09 16:36:06.687;;;Status:OK  Packet:34  AirTime:2 ms
52;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-44 dBm;10 dB;2021-03-09 16:36:06;10:1111;10:2222;
53;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-09 16:36:07.230;;;Status:OK  Packet:35  AirTime:2 ms
54;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-44 dBm;10 dB;2021-03-09 16:36:06;10:1111;10:2222;
55;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-09 16:36:07.720;;;Status:OK  Packet:36  AirTime:2 ms
56;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-44 dBm;10 dB;2021-03-09 16:36:07;10:1111;10:2222;
57;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-09 16:36:08.270;;;Status:OK  Packet:37  AirTime:2 ms
58;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-42 dBm;10 dB;2021-03-09 16:36:07;10:1111;10:2222;
59;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-09 16:36:08.830;;;Status:OK  Packet:38  AirTime:2 ms
60;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-44 dBm;10 dB;2021-03-09 16:36:08;10:1111;10:2222;
61;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-09 16:36:09.277;;;Status:OK  Packet:39  AirTime:2 ms
62;COM8;Rx Ack-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;-44 dBm;10 dB;2021-03-09 16:36:08;10:1111;10:2222;
63;COM8;Tx C-Msg;2450000122 Hz;LoRa SF5;LoRa BW 1600;;;2021-03-09 16:36:09.709;;;Status:OK  Packet:40  AirTime:2 ms
